IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
191.237.202.255,443,0,false,GRU,South America,São Paulo,346,3.74
20.164.16.115,443,443,true,JNB,Africa,Johannesburg,325,3.69
4.182.9.108,443,80,false,FRA,Europe,Frankfurt,155,3.48
191.237.205.178,443,0,false,GRU,South America,São Paulo,337,3.46
20.203.143.114,2053,80,false,MXP,Europe,Milan,149,3.24
20.203.143.114,2087,80,false,MXP,Europe,Milan,150,3.23
20.203.143.114,2095,80,false,ZRH,Europe,Zurich,149,3.21
20.203.143.112,2052,80,false,MXP,Europe,Milan,150,2.98
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,174,2.74
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,173,2.73
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,174,2.72
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,174,2.71
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,174,2.70
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,174,2.70
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,174,2.70
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,2.69
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,175,2.68
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,174,2.67
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,175,2.66
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,174,2.64
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,176,2.63
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,173,2.62
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,173,2.62
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,174,2.47
51.107.7.135,8443,443,true,MXP,Europe,Milan,150,1.22
104.208.64.116,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.27
51.11.142.112,80,0,false,LHR,Europe,London,155,0.18
20.243.87.182,80,0,false,NRT,Asia Pacific,Tokyo,73,0.16
20.39.185.184,80,0,false,NRT,Asia Pacific,Tokyo,66,0.15
20.37.207.8,8080,80,false,SYD,Oceania,Sydney,88,0.11
20.196.192.92,80,0,false,ICN,Asia Pacific,Seoul,62,0.11
51.107.6.128,8443,443,true,MXP,Europe,Milan,150,0.11
20.92.32.172,80,0,false,SYD,Oceania,Sydney,88,0.11
51.107.6.220,8443,443,true,MXP,Europe,Milan,164,0.10
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,155,0.10
20.2.87.94,80,0,false,HKG,Asia Pacific,Hong Kong,35,0.09
4.242.18.222,80,0,false,SEA,North America,Seattle,161,0.09
4.236.181.208,80,0,false,IAD,North America,Ashburn,231,0.08
104.208.71.2,80,0,false,HKG,Asia Pacific,Hong Kong,36,0.08
20.92.226.83,80,0,false,SYD,Oceania,Sydney,87,0.07
20.102.24.191,80,0,false,IAD,North America,Ashburn,226,0.06
20.2.87.94,443,0,false,HKG,Asia Pacific,Hong Kong,31,0.06
13.94.60.131,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.05
172.162.242.200,80,0,false,FRA,Europe,Frankfurt,155,0.05
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,158,0.04
172.207.81.243,8080,0,false,NRT,Asia Pacific,Tokyo,74,0.03
51.143.162.160,80,80,false,LHR,Europe,London,156,0.03
20.81.104.97,80,443,false,IAD,North America,Ashburn,231,0.02
68.154.1.131,80,80,false,IAD,North America,Ashburn,233,0.01
40.83.203.12,80,0,false,SJC,North America,San Jose,168,0.01
